ID                                	START               	STATUS   	TYPE 
backup_1783234736_d1256158c5fb7f8c	2026-07-05T06:59:10Z	completed	incr	
backup_1783226926_44354e8fc99ebfe8	2026-07-05T04:50:39Z	completed	incr	
backup_1783226926_f254a87d94a2452d	2026-07-05T04:49:00Z	completed	full	
backup_1783223558_ee8b6ffa85f6df33	2026-07-05T03:54:30Z	completed	incr	
backup_1783223454_0671a5c7b6261bad	2026-07-05T03:52:47Z	completed	diff	
backup_1783223454_e25d33ad9c37ce2d	2026-07-05T03:51:07Z	completed	incr	
backup_1783219989_3ff542aab6082a07	2026-07-05T02:53:22Z	completed	incr	
backup_1783216315_0dbbddd22abf45fe	2026-07-05T01:52:09Z	completed	incr	
backup_1783212876_763aa48af8a800af	2026-07-05T00:54:49Z	completed	incr	
backup_1783209314_779c5f4608aa5ac8	2026-07-04T23:55:28Z	completed	incr	
backup_1783201982_9d9466f251971221	2026-07-04T21:54:55Z	completed	incr	
backup_1783201982_5663b8606c9d4d20	2026-07-04T21:53:15Z	completed	diff	
backup_1783199188_c90dcef7c47b62f2	2026-07-04T21:06:41Z	completed	incr	
backup_1783194814_8f03f042a8551006	2026-07-04T19:53:47Z	completed	incr	
backup_1783191343_6604bdd8be0ffb8f	2026-07-04T18:55:55Z	completed	incr	
backup_1783187676_bc39fd8a5b25da00	2026-07-04T17:54:49Z	completed	incr	
backup_1783180063_a97e979708432966	2026-07-04T15:49:36Z	completed	diff	
backup_1783180063_c82874c0de499a29	2026-07-04T15:47:56Z	completed	incr	
backup_1783176567_a316ade84dac97d3	2026-07-04T14:49:40Z	completed	incr	
backup_1783172935_b1761371ffade384	2026-07-04T13:49:07Z	completed	incr	
backup_1783169427_cea8a8ec68161a8a	2026-07-04T12:50:39Z	completed	incr	
backup_1783165817_96046750af3a6115	2026-07-04T11:50:29Z	completed	incr	
backup_1783158104_4188c358418da277	2026-07-04T09:44:38Z	completed	incr	
backup_1783158139_fb34394daaa92a4f	2026-07-04T09:43:09Z	completed	diff	
backup_1783158105_d7ffd752bd3ef228	2026-07-04T09:41:56Z	completed	incr	
backup_1783155062_ccaf9bbfd394b9ab	2026-07-04T08:51:13Z	completed	incr	
backup_1783151709_892c899cf6c40282	2026-07-04T07:55:20Z	completed	incr	
backup_1783148207_d86b762679d11ef1	2026-07-04T06:56:58Z	completed	incr	
backup_1783140731_393aa3bf6927f482	2026-07-04T04:54:01Z	completed	incr	
backup_1783140730_28022b15875eda10	2026-07-04T04:52:21Z	completed	full	
backup_1783137168_2be6a91e17cb4139	2026-07-04T03:53:37Z	completed	diff	
