idx,page_tsx_path,layout_sidecar,user_path,primary_round,role_guess,key_api_or_ui_contract,appendix_b_axes,playwright_ref,vitest_ref,d3_hand,status_93,gap_issue,controls_notes
71,frontend/app/community/me/posts/page.tsx,Y,,,,,,,,NOT_RUN,,,
72,frontend/app/community/me/reports/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
73,frontend/app/community/me/reports/page.tsx,Y,,,,,,,,NOT_RUN,,,
74,frontend/app/community/messages/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
75,frontend/app/community/messages/page.tsx,Y,,,,,,,,NOT_RUN,,,
76,frontend/app/community/page.tsx,Y,,,,,,,,NOT_RUN,,,
77,frontend/app/community/post/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
78,frontend/app/community/topic/[tag]/page.tsx,Y,,,,,,,,NOT_RUN,,,
79,frontend/app/community/tt/page.tsx,Y,,,,,,,,NOT_RUN,,,
80,frontend/app/community/user/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
81,frontend/app/did-rank/page.tsx,Y,,,,,,,,NOT_RUN,,,
82,frontend/app/discover/page.tsx,Y,,,,,,,,NOT_RUN,,,
83,frontend/app/disputes/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
84,frontend/app/disputes/page.tsx,Y,,,,,,,,NOT_RUN,,,
85,frontend/app/escrow/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
86,frontend/app/escrow/[id]/rate/page.tsx,Y,,,,,,,,NOT_RUN,,,
87,frontend/app/governance/delegate/page.tsx,Y,,,,,,,,NOT_RUN,,,
88,frontend/app/governance/distribution-accruals/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
89,frontend/app/governance/distribution-accruals/page.tsx,Y,,,,,,,,NOT_RUN,,,
90,frontend/app/governance/distribution-claim/page.tsx,Y,,,,,,,,NOT_RUN,,,
91,frontend/app/governance/fee-routes/page.tsx,Y,,,,,,,,NOT_RUN,,,
92,frontend/app/governance/page.tsx,Y,,,,,,,,NOT_RUN,,,
93,frontend/app/governance/params/page.tsx,Y,,,,,,,,NOT_RUN,,,
94,frontend/app/governance/proposals/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
95,frontend/app/governance/proposals/page.tsx,Y,,,,,,,,NOT_RUN,,,
96,frontend/app/governance/vault-forwards/page.tsx,Y,,,,,,,,NOT_RUN,,,
97,frontend/app/guide/page.tsx,Y,,,,,,,,NOT_RUN,,,
98,frontend/app/guide/register/page.tsx,Y,,,,,,,,NOT_RUN,,,
99,frontend/app/guides/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
100,frontend/app/guides/page.tsx,Y,,,,,,,,NOT_RUN,,,
101,frontend/app/help/page.tsx,Y,,,,,,,,NOT_RUN,,,
102,frontend/app/itinerary/new/page.tsx,Y,,,,,,,,NOT_RUN,,,
103,frontend/app/market/acquisition/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
104,frontend/app/market/acquisition/page.tsx,Y,,,,,,,,NOT_RUN,,,
105,frontend/app/market/page.tsx,Y,,,,,,,,NOT_RUN,,,
106,frontend/app/market/provider/page.tsx,Y,,,,,,,,NOT_RUN,,,
107,frontend/app/market/provider/showcase/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
108,frontend/app/me/identities/page.tsx,Y,,,,,,,,NOT_RUN,,,
109,frontend/app/me/onboarding/page.tsx,N,,,,,,,,NOT_RUN,,,
110,frontend/app/me/page.tsx,Y,,,,,,,,NOT_RUN,,,
111,frontend/app/me/password/page.tsx,Y,,,,,,,,NOT_RUN,,,
112,frontend/app/me/security/page.tsx,N,,,,,,,,NOT_RUN,,,
113,frontend/app/network/page.tsx,Y,,,,,,,,NOT_RUN,,,
114,frontend/app/orders/[id]/page.tsx,Y,,,,,,,,NOT_RUN,,,
115,frontend/app/orders/new/page.tsx,Y,,,,,,,,NOT_RUN,,,
116,frontend/app/orders/page.tsx,Y,,,,,,,,NOT_RUN,,,
117,frontend/app/pay/page.tsx,Y,,,,,,,,NOT_RUN,,,
118,frontend/app/privacy/page.tsx,Y,,,,,,,,NOT_RUN,,,
119,frontend/app/staking/page.tsx,Y,,,,,,,,NOT_RUN,,,
120,frontend/app/terms/community-guidelines/page.tsx,Y,,,,,,,,NOT_RUN,,,
121,frontend/app/terms/page.tsx,Y,,,,,,,,NOT_RUN,,,
122,frontend/app/traveltrust/page.tsx,Y,,,,,,,,NOT_RUN,,,
123,frontend/app/trust/page.tsx,Y,,,,,,,,NOT_RUN,,,
